City,Population_Density_per_km2,Industrial_Activity_Level,Plastic_Waste_per_day_tonnes,Nearby_Water_Body,Wastewater_Treatment_Quality,Waste_Disposal_Regulation,Plastic_Recycling_Effort,Proximity_to_Ecosensitive_Zone,Uncollected_Plastic_Waste_tonnes_per_day,Annual_Rainfall_mm,Surface_Water_pH,Plastic_Bottle_Usage_per_1000_people,Wastewater_Discharge_MLD,Distance_to_Nearest_Water_Body_km,Microplastic_Risk_Level
City_239,19658,High,454,No,Average,Well Regulated,Low,No,254,1772,6.947775920261056,500,97,17.064097191193046,Medium
City_240,5975,High,629,No,Good,Partially Regulated,High,Yes,168,1125,6.2434622152131585,500,396,17.217753589746305,Low
City_241,15736,High,764,No,Good,Unregulated,Low,Yes,186,1248,6.699835545516856,3684,497,1.0,Low
City_242,22962,High,308,No,Good,Well Regulated,Low,No,125,755,7.590409178422013,2777,494,12.737552194433437,Low
City_243,3455,High,636,No,Average,Partially Regulated,Low,Yes,183,1570,7.446586054824455,2308,433,4.167250719698261,Low
City_244,15449,Low,398,No,Poor,Unregulated,Moderate,Yes,130,850,7.335895797167335,4446,238,19.770858831052617,Low
City_245,15953,Medium,369,No,Good,Unregulated,Low,Yes,214,1227,6.497743961427104,3451,215,18.967947650004543,Low
City_246,19446,Low,594,No,Average,Well Regulated,High,Yes,127,869,7.084017568229551,4746,36,7.481216680567467,Medium
City_247,5935,Medium,545,No,Average,Partially Regulated,Moderate,Yes,192,1007,6.0,764,500,8.382456578253645,Low
City_248,5376,Low,71,No,Good,Well Regulated,Low,Yes,157,940,7.343401682982037,2561,330,10.463635683335959,Low
City_249,17707,High,720,Yes,Good,Unregulated,Low,No,258,1002,8.244366005809475,500,198,1.0,Low
City_250,16201,Low,700,No,Average,Well Regulated,Low,Yes,155,1021,6.152611425922601,2303,447,15.907560320132838,Medium
City_251,15890,High,273,Yes,Average,Unregulated,Low,Yes,10,1019,6.792608755195021,2278,132,11.750279677119524,Low
City_252,16532,High,490,Yes,Poor,Unregulated,High,Yes,270,1395,7.451938484671016,3436,321,20.238245309647912,Low
City_253,9662,Low,511,Yes,Poor,Partially Regulated,Moderate,Yes,80,867,8.117538026314111,2667,242,6.112907267870628,Low
City_254,15768,Medium,462,No,Good,Partially Regulated,Moderate,No,102,1228,6.891830941999271,3432,353,9.385715911316911,Low
City_255,16175,Medium,289,No,Good,Unregulated,Low,No,107,1500,6.71599777314063,3538,257,3.3260848865566004,Low
City_256,9432,High,263,No,Good,Partially Regulated,Low,No,280,1028,6.0,5000,67,6.755596961522984,Low
City_257,26000,Medium,401,Yes,Poor,Unregulated,High,No,10,972,7.28933253116653,2190,276,5.542230142683955,Low
City_258,17385,Medium,656,No,Good,Well Regulated,High,No,300,1105,8.5,1361,409,20.41441115086837,Low
City_259,6240,Medium,522,Yes,Poor,Unregulated,Low,Yes,252,1489,7.414651141440383,2933,261,8.845315541097008,Low
City_260,18608,Medium,327,Yes,Good,Partially Regulated,High,No,179,1221,7.1987468412521025,1545,372,14.46133427231227,Low
City_261,7690,Low,570,No,Good,Well Regulated,Moderate,Yes,155,1023,7.446876991589087,4569,122,11.013355229232548,Low
City_262,19481,High,50,No,Good,Well Regulated,Moderate,Yes,184,1300,7.206807636492188,2232,262,4.944850204795715,Low
City_263,21968,Low,651,Yes,Poor,Partially Regulated,Low,No,205,868,6.628981023529339,1858,180,12.464159734924005,Low
City_264,8721,Low,50,No,Poor,Partially Regulated,Low,No,216,1353,7.808015832347983,1983,368,17.704380040000526,Low
City_265,20661,Low,329,No,Average,Well Regulated,High,Yes,208,1279,7.3774728738240185,3558,270,5.3662090644253535,Low
City_266,16976,Low,168,Yes,Good,Partially Regulated,Moderate,Yes,167,1084,7.227491260538742,2398,360,19.138430659894304,Low
City_267,19715,Medium,131,No,Good,Well Regulated,Low,Yes,142,939,6.511998244852701,1758,414,7.811076520137312,Low
City_268,26000,Medium,653,Yes,Average,Partially Regulated,High,Yes,146,926,8.154044998073765,4811,360,10.315341891962388,Medium
City_269,12571,Medium,307,Yes,Poor,Well Regulated,Low,Yes,142,1314,7.693752765429947,1474,303,17.23717230826944,Low
City_270,9169,Medium,480,Yes,Poor,Unregulated,Moderate,Yes,259,1503,6.816391890540189,2654,129,9.083122946529155,Low
City_271,8260,Medium,396,No,Poor,Well Regulated,Moderate,Yes,211,994,7.936666710369843,3470,265,13.869980111265104,Low
City_272,8753,High,508,No,Poor,Unregulated,High,Yes,10,1293,6.856274432420972,500,192,11.464532132183798,Low
City_273,13697,High,422,No,Average,Well Regulated,Moderate,Yes,217,599,6.651325969023434,3243,218,14.496790068277031,Low
City_274,16497,Low,133,No,Poor,Partially Regulated,High,No,177,1009,6.667394544587614,1210,214,1.0,Low
City_275,16065,Medium,618,No,Poor,Unregulated,High,Yes,158,1159,6.0,3696,131,1.119408750970468,Low
City_276,19750,Low,301,No,Good,Well Regulated,Moderate,No,126,920,7.554570715111969,1333,20,17.8195337218706,Low
City_277,14300,Medium,75,No,Poor,Unregulated,Moderate,Yes,258,913,6.0,3524,174,20.695798315447906,Low
City_278,23942,High,315,No,Average,Well Regulated,Low,No,242,986,6.329642575435369,4071,292,7.396137079350125,Low
City_279,12442,High,725,Yes,Poor,Unregulated,Low,No,92,1247,6.0,3747,81,11.947051200334794,Low
City_280,26000,Medium,587,No,Good,Well Regulated,Moderate,No,195,1117,7.152782327181084,2940,268,15.625891863927237,Low
City_281,18401,High,332,No,Average,Unregulated,Moderate,No,75,558,7.106486320459178,2301,500,18.3470397928905,Low
City_282,8477,Low,332,Yes,Good,Well Regulated,Moderate,No,39,590,6.97939845267724,1844,406,1.0,Low
City_283,7046,High,338,Yes,Good,Well Regulated,Low,Yes,105,1003,6.4635687563441495,4554,491,7.563069827823678,Low
City_284,17442,Low,800,No,Average,Unregulated,Moderate,No,235,1293,6.370144848685045,1681,319,11.342380073521996,Medium
City_285,12718,Medium,487,No,Average,Well Regulated,Moderate,No,243,419,7.549402545106835,1234,425,18.41479628545689,Low
City_286,18992,Low,498,No,Good,Well Regulated,High,No,204,1032,6.8180988097974025,3488,166,25.0,Low
City_287,17381,Low,625,Yes,Good,Partially Regulated,Moderate,Yes,223,1025,7.442752560795547,1553,177,12.056461776200003,Low
City_288,13726,High,457,Yes,Poor,Well Regulated,Low,No,205,1546,6.576932458020852,1349,20,4.005847499343023,Low
City_289,8546,Medium,351,Yes,Poor,Partially Regulated,Low,No,103,1063,7.34526508680069,696,428,16.360289538138293,Low
City_290,4075,Low,364,No,Good,Well Regulated,Low,No,197,1272,8.153879347090443,1968,476,22.633826227851813,Low
City_291,11225,Medium,391,No,Poor,Partially Regulated,High,Yes,229,1206,7.637162827699603,2498,190,14.350974954875984,Low
City_292,19945,Medium,398,No,Good,Partially Regulated,Low,No,225,588,6.91763447733119,2929,231,7.422345962653711,Low
City_293,15646,High,561,Yes,Poor,Unregulated,Moderate,No,263,1377,7.400125183298247,3866,162,20.155066327985814,Low
City_294,5876,Medium,417,Yes,Average,Well Regulated,High,No,221,1227,7.041388273189453,3304,318,18.14442451035101,Low
City_295,15372,Medium,562,Yes,Good,Well Regulated,Low,Yes,190,1306,7.2204780813350595,2354,420,6.606801922880777,Low
City_296,16792,Low,389,No,Good,Well Regulated,Moderate,No,253,1800,6.980180367425855,2345,27,16.217966700078286,Low
City_297,8298,High,423,No,Average,Unregulated,Low,Yes,157,600,7.096387970158204,3282,322,20.42323281996024,Low
City_298,15242,Medium,50,No,Poor,Partially Regulated,Low,No,82,1638,7.367624249181157,4291,228,21.683941952326627,Low
City_299,14603,Medium,601,Yes,Poor,Well Regulated,Low,No,145,1090,6.499033592280048,2774,281,13.159652846192879,Low
City_300,6564,High,480,Yes,Good,Well Regulated,Low,No,94,1246,6.482806673742944,1986,328,11.168252745523432,Low
City_301,16608,Low,618,No,Good,Unregulated,Low,No,101,1155,6.214283151312492,1293,240,21.993845313385,Low
City_302,17967,Medium,50,No,Poor,Unregulated,Moderate,No,147,1052,6.061721761161699,694,251,5.349813070026144,Low
City_303,21462,Medium,800,No,Poor,Unregulated,Low,No,90,1013,6.337684754362144,3489,236,16.608240839115762,Low
City_304,21266,Medium,376,No,Average,Unregulated,Moderate,No,133,1258,7.329700997705305,3372,398,4.258166455591647,Low
City_305,4993,Low,642,Yes,Good,Well Regulated,Low,Yes,10,755,6.5715003408841355,3371,323,20.888327100382973,Low
City_306,7937,Medium,185,No,Poor,Unregulated,Low,Yes,178,1372,7.584885831201171,2437,296,11.851334931035808,Low
City_307,17660,Low,536,Yes,Good,Well Regulated,Low,No,160,1055,7.239813054452104,4469,91,22.275926846528527,Low
City_308,17652,High,182,Yes,Average,Unregulated,Low,Yes,88,860,6.0,1966,214,16.969014416963095,Low
City_309,17660,Medium,273,Yes,Average,Partially Regulated,Low,Yes,217,1045,7.6867438418971235,3871,389,5.260634659600322,Low
City_310,26000,Medium,800,No,Poor,Well Regulated,High,Yes,241,1510,7.799022430612039,2556,271,23.3414774557371,Low
City_311,18034,Low,366,Yes,Poor,Well Regulated,High,No,19,1022,6.498670452000004,1802,356,24.206085910059393,Low
City_312,21813,Low,452,No,Poor,Partially Regulated,High,Yes,93,1266,7.51756977625386,3391,500,19.638097641987514,Low
City_313,20598,Medium,591,No,Poor,Well Regulated,High,No,92,969,6.597648645844797,3149,408,8.412893528306464,Low
City_314,18573,Low,512,No,Poor,Unregulated,Low,No,77,1374,7.285176566627173,3079,278,11.523782211790431,Low
City_315,12103,Medium,438,No,Average,Well Regulated,High,No,232,1355,6.30366338570885,2715,195,14.606450467319448,Low
City_316,19293,Medium,484,No,Poor,Unregulated,Moderate,No,143,1671,6.0,2557,20,8.808110086738168,Low
City_317,9041,High,800,No,Average,Well Regulated,High,No,136,1120,6.938960381604312,5000,242,25.0,Low
City_318,12628,Medium,394,Yes,Poor,Partially Regulated,High,No,10,1350,7.125646883967106,4174,221,14.59893402004673,Low
City_319,10965,Medium,449,No,Good,Unregulated,Low,Yes,215,1195,6.9282511774634,3564,319,1.0,Low
City_320,14761,Medium,630,Yes,Good,Well Regulated,High,No,51,1521,6.3616446396590955,2755,244,15.930692831814772,Low
City_321,26000,Medium,641,Yes,Poor,Well Regulated,Moderate,Yes,165,972,6.926652007464533,3940,222,11.236005508255701,Low
City_322,2000,Medium,659,No,Poor,Partially Regulated,High,No,184,1371,7.40884082105856,3293,22,13.101763644059425,Low
City_323,18806,High,542,Yes,Average,Unregulated,Low,No,278,1115,7.182452245945,2642,137,11.096280852797037,Medium
City_324,3420,Low,163,No,Good,Unregulated,Moderate,Yes,45,1150,7.346301447696751,2205,331,19.12432041404908,High
City_325,11055,Medium,754,No,Good,Well Regulated,Low,Yes,10,1193,6.731947280242759,2500,500,21.259193487486957,Low
City_326,21501,High,162,No,Good,Well Regulated,High,No,176,1237,8.059083462791891,500,252,15.546229906749428,Low
City_327,14644,High,470,Yes,Poor,Well Regulated,Low,No,300,1136,6.367306174943553,2886,310,11.296411894437039,Low
City_328,7000,Medium,246,No,Average,Unregulated,Low,Yes,268,1226,7.5661124539398505,1960,396,13.331128694217595,Low
City_329,9426,Medium,392,Yes,Poor,Well Regulated,Moderate,No,178,1598,8.066413764776184,4715,154,13.747236077928871,Low
City_330,18762,High,476,No,Average,Unregulated,Moderate,Yes,117,1436,7.561319196072066,2633,316,8.134002537174194,Medium
City_331,9325,Medium,474,Yes,Poor,Partially Regulated,Low,No,230,1405,7.068870801873021,1033,164,17.566617116189633,Low
City_332,15662,Medium,496,No,Poor,Well Regulated,Moderate,No,74,1044,6.834134607470436,2541,384,16.75480126481074,Low
City_333,14518,Low,749,Yes,Average,Well Regulated,High,No,201,926,7.96135483098349,1222,286,24.132310561083088,Low
City_334,9852,Medium,503,Yes,Good,Well Regulated,High,No,204,1428,6.189472843798768,3234,306,22.185562131704657,Low
City_335,26000,Low,354,Yes,Poor,Well Regulated,Moderate,No,252,1407,6.5157752094725305,2992,158,8.931265462265713,Low
City_336,18456,High,611,Yes,Poor,Well Regulated,High,Yes,300,1569,6.928339032992881,3875,362,19.214811473580507,Low
City_337,2000,High,659,Yes,Good,Well Regulated,High,Yes,194,1003,8.106593653579797,1560,500,7.119810159481118,Low
City_338,15461,Low,145,No,Good,Unregulated,High,Yes,115,1105,7.488442257053456,2652,127,18.365575764552197,Low
City_339,9784,Low,533,No,Average,Unregulated,Low,Yes,157,721,6.517272877754013,800,219,10.085697409973914,Low
City_340,19919,Medium,555,No,Average,Well Regulated,Moderate,No,10,1061,6.991207221616274,3535,297,6.626110345518805,Medium
City_341,8909,Medium,343,No,Good,Well Regulated,Low,Yes,99,1439,6.772148347365276,3294,373,15.525690996123247,Low
City_342,13445,Low,699,No,Average,Unregulated,High,No,124,1041,6.703360257816266,3263,189,1.0,Low
City_343,17593,Medium,374,No,Poor,Unregulated,Low,Yes,114,1342,7.9201406419832265,2609,20,1.6568547023164104,Low
City_344,20008,High,433,No,Poor,Unregulated,Moderate,No,173,1116,6.226388007070688,3156,452,12.401395801118317,Low
City_345,6180,High,369,Yes,Poor,Partially Regulated,Moderate,Yes,88,1256,8.374009955479558,4730,370,14.176354007810982,Low
City_346,11975,Medium,409,No,Poor,Well Regulated,Low,Yes,257,855,7.81158240132184,2230,27,11.091504966609186,Low
City_347,11035,High,173,Yes,Poor,Unregulated,Moderate,No,160,1191,8.000822349848036,2791,182,2.8282114876831415,Low
City_348,9841,High,100,No,Good,Well Regulated,Low,No,159,400,6.8812280972689965,1169,480,8.028421544514291,Low
City_349,26000,Medium,745,Yes,Good,Partially Regulated,High,No,131,1117,7.106759943662479,1458,464,16.284774809770884,Low
City_350,16924,Low,226,Yes,Poor,Unregulated,High,No,173,724,6.182139867832851,2736,394,17.58609967415019,Low
City_351,5775,Medium,195,No,Good,Partially Regulated,High,Yes,232,1496,6.83675355360561,4068,241,13.502620361928006,Low
City_352,20356,High,50,No,Average,Well Regulated,Moderate,Yes,84,1380,7.570503893366798,2268,277,21.512845147633037,Low
City_353,26000,High,270,No,Poor,Well Regulated,High,No,102,1295,8.14868058341886,2295,247,16.327027523769978,Low
City_354,21123,High,125,No,Poor,Well Regulated,Low,No,133,1582,6.417036153084628,2068,420,8.509395400965666,Low
City_355,4045,Low,755,Yes,Poor,Partially Regulated,High,Yes,42,909,6.951434035996908,1899,145,11.69799035252477,Low
City_356,10972,Low,621,Yes,Good,Partially Regulated,Moderate,No,88,1644,7.105781073199201,2997,155,4.033921564990633,Low
City_357,22693,Low,260,No,Poor,Partially Regulated,Low,No,118,1422,6.209061565728411,625,404,12.874972373732321,Low
City_358,9477,Medium,800,No,Poor,Unregulated,Moderate,Yes,236,1103,7.640897765751141,4302,259,21.207384532776025,Low
City_359,17184,Medium,615,No,Average,Well Regulated,Moderate,Yes,182,1477,6.69312745694635,1726,454,18.29290670453148,Medium
City_360,19398,High,337,No,Poor,Well Regulated,High,No,176,867,7.074011129047367,3563,173,23.187027558351836,Low
City_361,8010,Low,50,Yes,Average,Well Regulated,Low,No,234,943,6.889147062606094,926,258,11.545146627183687,Low
City_362,13815,Low,800,No,Good,Unregulated,High,Yes,148,1002,6.646040711988755,3492,139,22.80524904893911,Low
City_363,2000,Medium,110,No,Good,Unregulated,Moderate,Yes,194,1024,7.209723722969379,3496,266,12.293421141617628,High
City_364,7357,Medium,56,No,Average,Unregulated,Low,Yes,150,880,7.059442128179284,3116,63,23.66212595388379,Low
City_365,12523,High,624,No,Average,Partially Regulated,High,No,183,1501,6.946857130326676,1291,199,13.464151092892577,Low
City_366,5862,Medium,800,Yes,Good,Well Regulated,High,Yes,109,1097,6.689905660894276,2937,69,18.442732904718667,Low
City_367,25139,Low,701,No,Average,Well Regulated,Low,Yes,10,1264,7.4450340794724665,1041,360,23.68621201454507,Medium
City_368,4642,High,526,Yes,Average,Partially Regulated,Moderate,Yes,148,1013,8.40631691379007,2272,364,12.292578489545587,Low
City_369,11268,High,533,Yes,Poor,Partially Regulated,Low,Yes,284,672,7.315595998643073,3970,28,15.104670272558856,Low
City_370,15088,Low,588,No,Good,Well Regulated,Moderate,No,240,1241,7.932554781481661,3662,448,22.4144102203975,Low
City_371,23860,Low,568,No,Good,Well Regulated,Low,Yes,244,647,6.2130730772686835,2627,500,12.705187242774523,Low
City_372,4603,High,466,Yes,Poor,Well Regulated,High,No,267,1149,7.328475290433912,1317,272,4.5936805704412755,Low
City_373,21998,Medium,428,Yes,Average,Unregulated,Moderate,No,167,795,6.4240892729019645,3461,178,25.0,Low
City_374,14282,High,393,Yes,Good,Unregulated,High,Yes,177,1709,6.150599072080963,2633,500,10.405611051260985,Low
City_375,7644,Low,246,No,Good,Well Regulated,Moderate,Yes,106,1416,6.682044595018378,500,85,14.697466472464,High
City_376,17306,High,346,Yes,Poor,Well Regulated,Low,Yes,132,1197,8.073625221257977,3643,268,21.507197212112317,Low
City_377,15546,High,50,No,Poor,Unregulated,High,No,213,1512,7.899335623687733,2575,290,9.458296393944407,Low
City_378,10196,Low,385,Yes,Poor,Well Regulated,Low,No,265,937,7.389897492010754,4199,450,6.7311690113606595,Low
City_379,14681,High,196,Yes,Poor,Well Regulated,Moderate,Yes,147,1316,6.110409839301287,1157,315,15.346046375510186,Low
City_380,11635,Low,171,No,Average,Unregulated,Moderate,No,120,1222,7.073369621620065,500,197,1.3693690225095132,Low
City_381,14973,High,444,Yes,Average,Unregulated,High,Yes,160,1240,7.432190487113621,2976,135,11.647431942039535,Low
City_382,18645,Low,702,No,Good,Partially Regulated,High,No,212,1514,7.341282947723772,2993,219,15.286647721097562,Low
City_383,24828,High,601,Yes,Average,Partially Regulated,Low,Yes,33,1367,6.0,500,127,11.7700321485198,Medium
City_384,5929,Medium,72,No,Poor,Well Regulated,Low,No,10,1247,6.573279864248102,1312,272,3.073937664426632,Low
City_385,26000,Medium,196,Yes,Poor,Unregulated,Moderate,Yes,111,717,7.168628651142075,5000,188,24.499251992764965,Low
City_386,2000,High,606,No,Average,Well Regulated,High,Yes,53,906,7.601225384868054,2202,61,14.320410792056519,Low
City_387,13197,Low,197,Yes,Poor,Well Regulated,Moderate,No,115,1134,6.0,3574,437,23.386029255383278,Low
City_388,18151,High,358,No,Average,Partially Regulated,Low,Yes,147,1193,7.097981276226471,1746,197,11.837741190265675,Low
City_389,16094,Low,523,No,Good,Unregulated,Moderate,Yes,120,860,7.317874049875544,500,92,7.604233866906453,Low
City_390,10046,High,200,No,Poor,Well Regulated,Low,Yes,286,1800,7.82698945505987,2382,242,15.451503234190593,Low
City_391,12820,Low,429,Yes,Good,Well Regulated,Low,Yes,188,1581,7.714039785527485,2255,275,12.13989654951542,Low
City_392,10914,Low,122,No,Good,Well Regulated,Moderate,No,186,1332,7.634572817492755,2078,26,5.571050107641906,Low
City_393,10269,Medium,278,No,Average,Unregulated,Low,No,214,1188,6.638401421004634,2455,311,23.649829019853343,Low
City_394,19900,Low,474,No,Good,Unregulated,Moderate,No,60,1110,6.0,2957,122,9.364224730973753,Low
City_395,16603,Low,67,Yes,Poor,Well Regulated,Moderate,No,250,909,6.931585124965776,2408,500,1.0471319656291058,Low
City_396,9576,Low,500,No,Poor,Well Regulated,Low,No,153,1189,7.936527623354211,934,337,22.682788413588092,Low
City_397,20234,Medium,402,No,Good,Unregulated,Low,Yes,218,1238,8.218856180216685,3251,211,10.169798525636923,Low
City_398,16270,Medium,524,No,Good,Well Regulated,High,No,66,830,7.726787440865379,500,163,9.462871568133274,Low
City_399,19654,High,454,No,Poor,Unregulated,High,No,24,1259,7.524162306439411,500,251,1.5584422034229881,Low
City_400,18427,Medium,696,No,Poor,Well Regulated,High,No,231,1126,7.488350035317199,3585,349,25.0,Low
City_401,8665,Low,433,No,Average,Well Regulated,High,Yes,192,648,6.814087631142503,3278,262,4.808175485835454,Low
City_402,10464,Medium,315,Yes,Good,Unregulated,High,Yes,81,934,7.121084820233563,2531,236,14.012522565670615,Low
City_403,19215,Medium,432,Yes,Poor,Well Regulated,High,No,84,1055,8.417451065761366,760,273,19.845232348516863,Low
City_404,18298,High,522,No,Good,Unregulated,Low,Yes,258,1682,6.535638124076171,1670,183,16.493096145369986,Low
City_405,14073,Medium,417,No,Average,Unregulated,Low,No,56,1319,8.378331778374895,2259,218,13.206050237980012,Low
City_406,14999,High,415,Yes,Good,Partially Regulated,High,Yes,300,804,6.982762030812768,500,20,1.9935663406719613,Low
City_407,22765,High,257,No,Average,Partially Regulated,High,Yes,81,1300,8.169842503581958,1629,399,8.084189987576183,Low
City_408,10254,High,265,Yes,Good,Unregulated,Low,No,215,746,6.201116900331841,3470,306,14.895795529411338,Low
City_409,17875,Medium,108,No,Good,Well Regulated,Low,Yes,131,1463,7.636974331902604,4496,159,8.238178002309654,Low
City_410,12860,High,778,No,Poor,Well Regulated,Low,Yes,212,1040,6.683918945910974,2052,500,15.002041070001033,Low
City_411,12756,High,141,No,Good,Partially Regulated,Low,No,112,1142,6.195026664996446,3608,277,18.268688210781757,Low
City_412,21567,Medium,259,Yes,Average,Well Regulated,Moderate,Yes,145,1529,7.372265099532355,500,123,20.185855676390126,Low
City_413,19738,High,253,No,Average,Well Regulated,Low,No,163,817,7.942176723153531,3480,383,5.240428241240927,Low
City_414,19658,High,597,No,Poor,Well Regulated,Low,No,72,787,6.605975918134795,1543,320,25.0,Low
City_415,22951,High,343,No,Average,Well Regulated,Moderate,No,224,1009,6.134681338348648,3014,319,18.854136468477023,Low
City_416,14354,Low,672,Yes,Good,Partially Regulated,Moderate,No,115,1451,7.148621088934358,2279,207,13.60169489326354,Low
City_417,18778,Low,263,Yes,Average,Unregulated,Low,No,140,754,7.151798315701072,4355,327,21.053305901294088,Low
City_418,12137,High,465,No,Poor,Well Regulated,Low,Yes,73,400,7.609892699406765,1450,230,25.0,Low
City_419,16383,Medium,228,No,Good,Partially Regulated,High,No,10,1045,7.899032085974554,3438,342,3.7890927335679176,Low
City_420,13342,Medium,800,Yes,Good,Partially Regulated,Low,No,143,1318,7.171988283666978,2237,20,12.07519294092172,Low
City_421,14863,Low,153,No,Good,Partially Regulated,Moderate,Yes,300,1495,8.5,2397,206,1.0,Low
City_422,18197,Low,472,No,Poor,Unregulated,Low,Yes,228,1042,7.37637275075919,2364,500,14.928921935568244,Low
City_423,8737,Low,541,No,Good,Unregulated,Moderate,Yes,158,1056,6.965181754498264,1488,160,16.10849637310316,Low
City_424,26000,Medium,494,Yes,Poor,Unregulated,Low,Yes,137,1482,6.05358222447822,2588,183,13.345981302624102,Low
City_425,7480,High,367,No,Poor,Partially Regulated,Moderate,Yes,161,659,7.02554020755114,2524,204,9.14391430020421,Low
City_426,6087,High,378,Yes,Poor,Well Regulated,Low,Yes,207,1062,6.972415778044582,2926,99,1.0,Low
City_427,21964,Medium,415,No,Good,Well Regulated,High,Yes,56,1220,7.90674935791059,2719,20,16.164076589215412,Low
City_428,19512,High,375,No,Poor,Unregulated,Low,Yes,257,1290,7.548043411837989,3663,234,23.55184151175863,Low
City_429,18390,Low,611,Yes,Average,Partially Regulated,High,No,222,1029,6.365003446225346,3829,284,9.577627576307485,Medium
City_430,18419,Medium,800,No,Good,Partially Regulated,High,No,222,1177,7.338918209693357,1216,258,16.61835138365818,Low
City_431,14131,Medium,288,No,Poor,Unregulated,Moderate,Yes,198,490,7.698673000420451,3757,246,2.9053188646702672,Low
City_432,8208,Low,115,Yes,Average,Partially Regulated,High,No,161,989,8.315825759831517,1037,271,16.735481647877453,Low
City_433,14721,Medium,387,Yes,Average,Unregulated,Moderate,No,218,1291,7.854292588991778,3385,406,10.927187050462699,Low
City_434,9681,High,800,Yes,Average,Well Regulated,High,Yes,211,900,7.763029432944473,3427,239,8.407225284943042,Low
City_435,20740,Medium,235,Yes,Good,Unregulated,High,Yes,129,1184,7.258095072100416,500,187,8.421253146666288,Low
City_436,13229,Low,755,Yes,Good,Partially Regulated,Moderate,No,109,1290,7.494598917866671,2730,227,10.92562138157513,Low
City_437,8688,Medium,763,No,Poor,Unregulated,Low,Yes,168,1075,8.115133016244089,1987,345,16.224847771893877,Low
City_438,12062,Medium,288,No,Poor,Well Regulated,Low,Yes,295,1214,6.254464835586759,1603,459,4.65328714498377,Low
City_439,16977,Medium,527,Yes,Poor,Well Regulated,Low,Yes,51,906,6.963010860725921,4395,179,10.90169601069192,Low
City_440,10440,Medium,753,No,Average,Well Regulated,Low,Yes,31,1112,6.658124190701033,1742,279,13.330209760529804,Low
City_441,8710,Low,325,Yes,Poor,Well Regulated,Moderate,Yes,174,1334,7.487999465490789,1540,312,6.10860526492218,Low
City_442,15844,Low,363,Yes,Average,Unregulated,Low,No,164,1211,8.10123881382784,2707,129,25.0,Low
City_443,15853,Low,282,No,Average,Unregulated,Low,No,175,1008,6.784649097926713,3514,268,7.785301928336141,Low
City_444,10820,Medium,190,Yes,Average,Well Regulated,Moderate,Yes,181,1229,6.0,2420,65,9.042146751924752,Low
City_445,11061,Medium,268,No,Good,Partially Regulated,High,Yes,140,1363,6.917773596568915,4151,23,6.933019366415228,Low
City_446,15766,High,146,No,Average,Well Regulated,Low,Yes,290,609,7.8730051498494955,3310,316,25.0,Low
City_447,4522,Medium,413,Yes,Average,Well Regulated,Moderate,Yes,20,1484,7.6021901990078815,500,213,17.388916065277712,Low
City_448,4793,Medium,242,No,Average,Well Regulated,Low,No,87,1076,7.523330375341196,1906,293,7.217876891744003,Low
City_449,9405,Medium,456,No,Average,Partially Regulated,Moderate,Yes,150,1284,7.013050319896846,1863,263,21.16730762531294,Low
City_450,12785,Medium,75,No,Good,Well Regulated,Low,No,16,1494,6.293192089571753,3241,132,14.983872018301026,Low
City_451,16294,High,477,Yes,Poor,Unregulated,Moderate,No,144,794,7.586096255484404,500,259,15.370056247788357,Low
City_452,24088,High,583,Yes,Poor,Partially Regulated,Moderate,No,300,975,6.613656732773478,5000,97,11.2611356905065,Low
City_453,19954,High,50,Yes,Average,Unregulated,High,No,161,1089,8.5,3310,456,8.49600925746895,Low
City_454,13143,High,486,Yes,Average,Well Regulated,High,Yes,180,954,7.625880000883973,2804,80,15.919837464006335,Low
City_455,14086,Medium,667,No,Poor,Unregulated,Low,No,49,1640,6.796412815347934,4171,239,9.891269176533223,Low
City_456,7504,Medium,149,Yes,Average,Unregulated,Low,No,106,934,6.774265254151901,5000,123,25.0,Low
City_457,14089,Medium,762,Yes,Poor,Partially Regulated,High,Yes,127,1017,7.147828883811874,3760,344,4.946039462465864,Low
City_458,12281,Medium,495,No,Average,Well Regulated,High,No,132,1224,7.042226456888457,3863,220,24.103054057694415,Low
City_459,16373,High,256,No,Poor,Well Regulated,Low,No,271,840,8.01953659702966,2780,194,12.853258695008353,Low
City_460,8677,High,394,Yes,Good,Well Regulated,Moderate,No,208,1060,7.349122508289063,2420,382,15.655708401662892,Low
City_461,17689,High,525,Yes,Good,Unregulated,Low,No,62,1254,6.687621427191562,1977,269,19.302621895745478,Low
City_462,24472,Low,422,Yes,Poor,Unregulated,Low,No,181,1077,8.5,1514,336,9.309739597933351,Low
City_463,13485,Low,521,Yes,Good,Well Regulated,High,No,203,1142,7.250329207463273,1698,131,19.514924333718472,Low
City_464,16902,High,210,No,Average,Partially Regulated,Low,Yes,259,1024,7.768788819157092,819,73,1.0,Low
City_465,18832,Low,442,Yes,Good,Well Regulated,High,No,298,755,6.7765412899318225,2507,280,8.696947941123998,Low
City_466,11528,High,105,No,Poor,Well Regulated,High,No,71,1255,7.476443622356207,500,222,7.303432587901119,Low
City_467,15713,Medium,382,No,Average,Unregulated,Moderate,Yes,89,1646,7.438970866837997,2860,351,5.053828046557596,Low
City_468,14298,Low,214,Yes,Average,Unregulated,Moderate,No,50,1173,6.0,2559,254,12.145579833907602,Low
City_469,14867,Low,250,No,Good,Well Regulated,High,Yes,139,1229,8.5,2801,294,16.247495549683002,Low
